novel_name,author,novelurl,serialstatus,serialnumber,category,collects,reviews
潮汐进化, 卖盘的狐狸,http://www.x23us.com/book/67981, 连载中, 1016147字,玄幻魔法,192,7399
仙武大明星, 上江君,http://www.x23us.com/book/68076, 连载中, 720912字,玄幻魔法,54,470
自然守望者, 老衲不能吃素,http://www.x23us.com/book/67389, 连载中, 1582287字,玄幻魔法,278,40744
光灵行传, 雷文D维克萨斯,http://www.x23us.com/book/60350, 连载中, 6574715字,玄幻魔法,245,35282
以神为饵, 光环嘟,http://www.x23us.com/book/68230, 连载中, 523403字,玄幻魔法,4,256
瞳宰天下, 绝谷刀客,http://www.x23us.com/book/55526, 连载中, 5043479字,玄幻魔法,1103,110224
神魔供应商, 何处不染尘,http://www.x23us.com/book/68309, 连载中, 1281085字,玄幻魔法,96,773
大自在逍遥天子, 我看青山,http://www.x23us.com/book/68374, 连载中, 661842字,武侠修真,43,832
破庙有神仙, 雪满林中,http://www.x23us.com/book/63877, 连载中, 3703992字,武侠修真,1790,462136
苍穹仙主, 依旧的迷茫,http://www.x23us.com/book/64201, 连载中, 2533371字,武侠修真,177,34550
无限制神话, 废纸桥,http://www.x23us.com/book/67940, 连载中, 1140225字,武侠修真,341,21917
双天行, 阿风八千,http://www.x23us.com/book/66332, 连载中, 1872326字,武侠修真,51,13461
长生处处开宝箱, 柴余,http://www.x23us.com/book/67576, 连载中, 1541674字,武侠修真,252,19492
僵尸爱打劫, 拼命的牛,http://www.x23us.com/book/68334, 连载中, 262519字,武侠修真,11,349
帝国战车, 百里草海,http://www.x23us.com/book/68406, 连载中, 205209字,历史军事,0,0
贼军, 解甲归田,http://www.x23us.com/book/68407, 连载中, 269461字,历史军事,0,2
逍遥秀才, 欢乐蜗牛,http://www.x23us.com/book/67600, 连载中, 777882字,历史军事,165,5930
天纵云骑, 无材补天,http://www.x23us.com/book/68293, 连载中, 548915字,历史军事,19,967
山海无限镜花缘, 源子夫,http://www.x23us.com/book/64664, 连载中, 2163126字,历史军事,105,27085
抗日之铁血智将, 5749,http://www.x23us.com/book/67980, 连载中, 2337559字,历史军事,661,13661
晋枭, 萧无逸,http://www.x23us.com/book/68430, 连载中, 119327字,历史军事,1,16
仙域科技霸主, 试剑天涯,http://www.x23us.com/book/64252, 连载中, 4257198字,武侠修真,764,91185
纪元之主, 暗淡冷漠,http://www.x23us.com/book/59923, 连载中, 3644514字,武侠修真,368,35583
重生之我的兄弟是阎王, 九斤八两,http://www.x23us.com/book/68226, 连载中, 958737字,武侠修真,10,390
重生封神之逆天成圣, 果芭,http://www.x23us.com/book/67549, 连载中, 2579844字,武侠修真,304,16928
魔门败类, 惊涛骇浪,http://www.x23us.com/book/54971, 连载中, 4389794字,武侠修真,1903,268562
